smiles,HOMO,LUMO,gap
CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CC(C#CC#CC#CC#CC#C)CCCCCCCC)C4=O)=O)=C(C)S3)S5)C5=C2OCC(CCCC)CC.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],5.44,3.58,1.84
CC1=C2C(C(N(CCCCCCCCCCCC)C2=O)=O)=C(C3=C(OCCCCCCCCCCCC)C=C(C4=CC(OCCCCCCCCCCCC)=C(C)S4)S3)S1,4.85,3.35,1.5
CC1=C2C(C(N(CC(CCCCCC)CCCC)C2=O)=O)=C(C3=C(OCCCCCCCCCCCC)C=C(C4=CC(OCCCCCCCCCCCC)=C(C)S4)S3)S1,5.05,3.53,1.5
CC1=C2C(C(N(CCCCCCCCCCCC)C2=O)=O)=C(C3=CC(C(CCCCCCCC)(CCCCCCCC)C4=C5SC(C)=C4)=C5S3)S1,5.26,3.59,1.67
CC1=C2C(C(N(CCCCCCCC)C2=O)=O)=C(C3=CC([Si](CC(CCCC)CC)(CC(CCCC)CC)C4=C5SC(C)=C4)=C5S3)S1,5.57,3.88,1.69
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(/C=C/C)S3)C3=C2OCCCCCCCCCCCC,5.07,3.04,2.03
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)S3)S4)C4=C2OCCCCCCCCCCCC,5.05,2.99,2.06
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=C4C(OCCO4)=C(C)S3)S5)C5=C2OCCCCCCCCCCCC,4.56,2.59,1.97
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)C4=C3N=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=N4)S7)C7=C2OCCCCCCCCCCCC,4.78,3.15,1.63
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)C4=NSN=C43)S5)C5=C2OCCCCCCCCCCCC,5.1,3.4,1.7
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=C4C(N=CC=N4)=C(C)S3)S5)C5=C2OCCCCCCCCCCCC,4.65,3.6,1.05
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)C4=N[Se]N=C43)S5)C5=C2OCCCCCCCCCCCC,4.88,3.36,1.52
CC(S1)=CC2=C1C(C3=CC(CCCCCC)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C)C5=NSN=C54)S6)C6=C2C7=CC(CCCCCC)=C(CC(CCCC)CC)S7,5.45,3.7,1.75
CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C4C(C(N(CCCCCCCC)C4=O)=O)=C(C)S3)S5)C5=C2OCC(CCCC)CC,5.56,3.76,1.8
CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C(C(C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C7=O)=O)C7=C(C8=CC=C(C)S8)S5)S4)S9)C9=C2C%10=CC=C(CC(CCCC)CC)S%10,5.23,3.43,1.8
CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC(F)=C(CC(CCCC)CC)S%11,5.05,3.3,1.73
CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC=C(CC(CCCC)CC)S%11,4.66,2.95,1.64
CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC(F)=C(CC(CCCC)CC)S%11,4.86,3.15,1.66
CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC=C(CC(CCCC)CC)S%11,4.92,3.21,1.68
CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=C5C(C=C(S(=O)(CC(CCCCCC)CCCCCCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(CC(CCCC)CC)S7,5.29,3.68,1.61
CC1=C(C=C(S(=O)(CC(CCCCCC)CCCCCCCC)=O)S2)C2=C(C3=CC4=C(S3)C5=C(C6=CC=C(C[C@H](CCCC)CC)S6)C7=C(C(SC(C)=C8)=C8S7)C(C9=CC=C(C[C@@H](CCCC)CC)S9)=C5S4)S1,5.21,3.68,1.59
CC(S1)=CC2=C1C(C3=CC=C(C[C@H](CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C6C(C=C(S(=O)(CC(CCCCCC)CCCCCCCC)=O)S6)=C(C7=CC=C(C)S7)S5)S4)S8)C8=C2C9=CC=C(C[C@@H](CCCC)CC)S9,5.04,3.68,1.59
CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=CC=C(C)C4=NSN=C43)S5)C5=C2OCC(CCCCCCCC)CCCCCC,5.22,3.68,1.67
CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C(CC(CC)CCCC)C=C(C4=CC=C(C5=CC(CC(CC)CCCC)=C(C)S5)C6=NSN=C64)S3)S7)C7=C2OCC(CC)CCCC,5.24,3.68,1.72
CC(S1)=CC2=C1C(OC[C@H](CCCC)CC)=C(C=C(C3=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C4=O)=C5C4=C(C6=CC=C(C)S6)N(CC(CCCCCC)CCCCCCCC)C5=O)S3)S7)C7=C2OC[C@H](CCCC)CC,5.29,3.84,1.45
CC(S1)=CC2=C1C(C3=CC=C(C[C@H](CCCC)CC)S3)=C(C=C(C4=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C5=O)=C6C5=C(C7=CC=C(C)S7)N(CC(CCCCCC)CCCCCCCC)C6=O)S4)S8)C8=C2C9=CC=C(C[C@H](CCCC)CC)S9,5.29,3.84,1.45
CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC5=C(C=C(C(N(CC(CCCCCC)CCCCCCCC)C6=O)=C7C6=C(C8=CC9=C(C=C(C)S9)S8)N(CC(CCCCCC)CCCCCCCC)C7=O)S5)S4)S%10)C%10=C2C%11=CC=C(CC(CCCC)CC)S%11,5.05,3.62,1.43
CC(S1)=CC2=C1C(CC(CCCC)CCCCCC)=C(C=C(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)S5)C6=C4N=C(C7=CC=C(OCCCCCCCC)C=C7)C(C8=CC=C(OCCCCCCCC)C=C8)=N6)S3)S9)C9=C2CC(CCCCCC)CCCC,6.0,4.23,1.77
CC(S1)=CC2=C1C(CC(CCCC)CCCCCC)=C(C=C(C3=CC4=C(C=C(C5=C(F)C(F)=C(C6=CC7=C(C=C(C)S7)S6)C8=C5N=C(C9=CC=C(OCCCCCCCC)C=C9)C(C%10=CC=C(OCCCCCCCC)C=C%10)=N8)S4)S3)S%11)C%11=C2CC(CCCCCC)CCCC,5.9,4.23,1.71
O=C1N(CC(CCCCCCCCCC)CCCCCCCC)C(C2=C(C3=CC=C(C4=CC=C(C)S4)S3)SC(C5=CC=C(S5)C6=CC=C(C7=CC8=C(OCC(CCCC)CC)C9=C(C=C(C)S9)C(OCC(CCCC)CC)=C8S7)S6)=C21)=O,5.39,3.52,1.84
O=C1N(CC(CCCCCCCCCC)CCCCCCCC)C(C2=C(C3=CC(SC(C)=C4)=C4S3)SC(C5=CC(S6)=C(S5)C=C6C7=CC8=C(OCC(CCCC)CC)C9=C(C=C(C)S9)C(OCC(CCCC)CC)=C8S7)=C21)=O,5.47,3.4,1.82
